hotel,cleanliness,safety,accessibility,natural_beauty,accomodations,recreational_activity,weighted_rating,review
BarcelonaSpringFarm,90.4,120.45,36.69,54.9,57.52,42.0,4.02,"if you love music x pool. You should try this place. #worthit 👌 

Spend time with my friends."
BarcelonaSpringFarm,90.4,72.27,61.15,73.2,71.9,33.6,4.02,I love barcelona spring resort. The foods are great..
BarcelonaSpringFarm,90.4,72.27,61.15,73.2,57.52,33.6,3.88,Nice place n cool.
BarcelonaSpringFarm,90.4,72.27,61.15,73.2,57.52,42.0,3.96,I Love Barcelona spring farm! Why? Libre ko tanan!nonoy baje is my long best friend and our wives as well are sisters! Toink!
BawbawonBeachResort,113.0,120.45,36.69,91.5,28.76,42.0,4.32,"the food is great, place is clean, quiet. great place to relax however I hope they can provide even a drinking water to the guests and accommodation coz it's difficult to ride the boat esp if it's low tide."
BawbawonBeachResort,90.4,120.45,36.69,91.5,71.9,42.0,4.53,"This place exceeded our expectations! When they say, it’s a hidden gem 💎 It is true!!! My family was blown away by everything; the staff, the food, the service, and the breathtaking nature! NO WORDS CAN CAPTURE my feelings! Such an amazing place!"
BawbawonBeachResort,90.4,96.36,36.69,91.5,57.52,25.2,3.98,"A nice,quite and romantic enviroment.
A virgin gem beach.
A great place to hang around if you need a private place during your cogitate life journey and purpose."
BawbawonBeachResort,90.4,96.36,61.15,91.5,71.9,33.6,4.45,"Well-trained and very accommodating staffs, the delicious foods were served with style and this is the best place to relax in Plaridel, Misamis Occidental. 5 out of 5"
BawbawonBeachResort,101.7,96.36,42.8,91.5,64.71,33.6,4.31,"WOW! This is our first time in Plaridel, and Bawbawon Beach Resort is just an amazing staycation with my loved ones. The staff our very accomodating and very kind (SUPER). The foods are all good and worth it. A million thumps up to this resort. 😍"
BawbawonBeachResort,90.4,72.27,36.69,91.5,71.9,33.6,3.96,"It""s romantic view and peaceful a very rewarding and relaxing place to unwind your busy life."
BawbawonBeachResort,113.0,120.45,61.15,91.5,71.9,42.0,5.0,"Loving it.
Easy access to the beach, nice and peaceful place. Perfect for family or a group of friends. Very nice ambience, family friendly and superb service. Everyone is very nice and makes you feel welcome. I would highly recommend. Very friendly staffs who went above and beyond to make our stay enjoyable… 💗💕🥰👌👍"
BawbawonBeachResort,90.4,120.45,48.92,91.5,57.52,42.0,4.51,Excellent Place to unwind 💚🍃🌴🌊⛱️
BawbawonBeachResort,113.0,120.45,48.92,91.5,71.9,33.6,4.79,"Thank you so much Bawbawon Beach Resort, Le Bistro & Hotel Bijoux team!!!! The best food, accom & customer service 👍👍👍. We will be back again soon, for sure!"
BawbawonBeachResort,90.4,120.45,36.69,91.5,57.52,25.2,4.22,Bawbawon beach resort is an excellent location for relaxation. The place is quiet and peaceful and the staffs are really friendly.
bethesdapooltibanga,90.4,96.36,61.15,54.9,57.52,25.2,3.85,Affordable price and nice place 👍👍👍
bethesdapooltibanga,90.4,72.27,61.15,73.2,57.52,42.0,3.96,"the pool and area so nice.. 
affordable price...  its good......"
bethesdapooltibanga,90.4,96.36,61.15,54.9,57.52,33.6,3.94,Affordable price and nice place 👍👍👍
bethesdapooltibanga,90.4,72.27,61.15,73.2,43.14,42.0,3.82,"the pool and area so nice.. 
affordable price...  its good......"
brentsgardenresorts,90.4,96.36,48.92,73.2,57.52,33.6,4.0,"Nice place, good accomodation and a welcoming place"
calumbabeachresort,113.0,96.36,61.15,73.2,71.9,33.6,4.49,Beautiful and very clean place
calumbabeachresort,113.0,96.36,36.69,91.5,71.9,33.6,4.43,Very accommodating ang caretaker😍😍
casaelcorahighlandresort,113.0,96.36,48.92,91.5,57.52,33.6,4.41,"Nice experience, nindot ang view. Recommended 👍"
casaelcorahighlandresort,45.2,24.09,36.69,54.9,28.76,16.8,2.06,"2 out of 5
TBH area is not safe at all specially for kids no onduty lifeguard and staff are inattentive and careless to their client. Lack of good costumer service. But still, thanks for the experience. We hope you'll never do that to your future clients guixxx .
~adios~"
casaelcorahighlandresort,113.0,120.45,61.15,91.5,71.9,42.0,5.0,"highly recommended
💯% thumbs up 👍👍👍
❤️❤️❤️❤️❤️❤️❤️❤️❤️"
casaelcorahighlandresort,90.4,120.45,61.15,91.5,57.52,33.6,4.55,Scenic view. Friendly staff. Affordable . Will definitely go back
casaelcorahighlandresort,90.4,120.45,48.92,91.5,43.14,33.6,4.28,"try to visit here you will not regret the ambiance,"
DakakParkandBeachResort,90.4,96.36,36.69,91.5,57.52,42.0,4.14,the flight distance is worth it for the beautiful view of dakak and the experience of the jetski is very enjoyable
DakakParkandBeachResort,113.0,96.36,61.15,91.5,71.9,42.0,4.76,"We had our first experience to stay at Dakak delixe room and its ao comfy . The ameneties (pools , beach are the best ) the people are very friendly and kind"
DakakParkandBeachResort,113.0,120.45,48.92,91.5,71.9,33.6,4.79,Very nice place 👍 if you want to visit Dakak this place is worth it
DakakParkandBeachResort,67.8,48.18,36.69,18.3,28.76,8.4,2.08,"BITCOIN INVESTMENT NOTICE!!
Awesome trading platform, incredible withdrawal I have been using this platform together with the most recommended Forex strategy on the internet from Mrs Bruce Donna and so far  i have no complains making $17,000-$19,000 on a weekly basis.. She is great and Straightforward when it comes to making profit for her clients and i am thankful i was so lucky enough to have met her.
Contact via her 
Email: Brucedonna442@gmail.com
Facebook Page: Mrs Bruce Donna"
DakakParkandBeachResort,67.8,96.36,36.69,36.6,43.14,16.8,2.97,"The Best online Forex/Binary broker and Trader is no one else but Mrs Bruce Donna the most tremendous, honest and very hardworking in her work. I did set up my Trades on Mrs Bruce Donna verified Trading company/platform with the standard plan of $1,000 where Mrs Bruce Donna carried out massive trade effectively and was able to earn a total profit of $12,950 after 7 days without any extra fee or commission. “Don’t Go Back To The Less, Because Your Impatient To Wait For The BEST” Contact Mrs Bruce Donna directly through,
WhatsApp +1(937)459-0619
Email: Brucedonna442@gmail.com
Facebook: Mrs Bruce Donna"
DakakParkandBeachResort,113.0,96.36,36.69,91.5,57.52,42.0,4.37,"the dakak park and beach resort is a beautiful place,  very amazing place, beautiful spots,  relaxing beaches and stressful places. thank you"
DakakParkandBeachResort,90.4,72.27,48.92,73.2,57.52,25.2,3.67,Nice place but the food buffet was very disappointing. Lami ra lantawon ang food pero mga walay lami puros tab'ang. Not worth the price.
DakakParkandBeachResort,90.4,72.27,36.69,91.5,57.52,33.6,3.82,Dakak is a place where the food is very delicious. Their customer service fast and quick.
DakakParkandBeachResort,90.4,120.45,48.92,73.2,71.9,33.6,4.38,I love it here!!! the services are good and the personnel are accomodating 🥰
DakakParkandBeachResort,113.0,120.45,48.92,91.5,57.52,33.6,4.65,very beautiful place and yummy food
DonNathanielsPH,113.0,96.36,48.92,54.9,71.9,33.6,4.19,"Cleaned Restroom
Sufficient Water Supply
Cleaned Cottages
Great Ambiance

Highly Reccomended"
DonelBeachResort,90.4,120.45,48.92,54.9,43.14,42.0,4.0,"The place is awesome and the party last sat nyt was lit af. However, the short, fat ticketing staff was so rude that I couldn't understand why. I politely greeted her with ""Mayng gabii, Maam."" but on a maldita tone, she replied with ""WA JUY MAAYO SA GABII."" I did not mind her since I'm in the zone to party. I couldn't let her ruin our night. Then I asked her how much the tickets are but then again she responded with a condescending tone na ""Kapila na diay ka nakaanhi diri? Nganu mangutana pa man ka?"". As a first timer from Cebu City, I asked politely since one, I honestly don't know how much and two, there could've been special rates since there's an event. Nonetheless, after we secured our tix, we got inside and partied like there's no tomorrow 😊 the MAYOR even had a lil chitchat with my friends and welcomedus with glee. Staff like that could ruin an establishment with good vibes. She could've been more friendly. I still wanna comeback if given the chance but I hope she'll be reassigned in the kitchen where no one's gonna interact with her 😂"
DonelBeachResort,90.4,120.45,61.15,73.2,71.9,33.6,4.51,"nice place,  always happy"
DonelBeachResort,22.6,48.18,24.46,54.9,14.38,16.8,1.81,"Staff are rude and most specialy the son of the owner itself ang the stockholder kuno xa. Never know how to handle guests, my experience here will never be forgotten.. (di ma draqing na experience ) 😔😕😢💔 This is surely my first and last to visit this resort.. Poor on management. 
Good if u are rich they will accommodate u well..
Godbless."
DonelBeachResort,113.0,120.45,61.15,91.5,71.9,42.0,5.0,it's nice and relaxing 😎😎
DonelBeachResort,90.4,72.27,61.15,73.2,43.14,33.6,3.74,It was fun! Till next time😊
DonelBeachResort,90.4,96.36,61.15,91.5,57.52,33.6,4.3,"approachable and accommodating...
relaxing ambiance..."
DonelBeachResort,90.4,72.27,61.15,73.2,43.14,33.6,3.74,Dili worth it and rent sa tent nila.
DonelBeachResort,113.0,96.36,48.92,91.5,71.9,33.6,4.55,Very relaxing ambiance. Clean and well maintained resort.
DonelBeachResort,90.4,120.45,36.69,91.5,57.52,42.0,4.38,"Over all nice ang resort, esp the party! Need lang i improve ang toilet."
DonelBeachResort,113.0,120.45,61.15,73.2,57.52,42.0,4.67,"Excellent!. 
Super duper limpyo!."
EribertaSpringsOfficial,90.4,120.45,36.69,91.5,43.14,33.6,4.16,This is a cool place to cool off  and relax..
EribertaSpringsOfficial,113.0,96.36,48.92,91.5,43.14,33.6,4.26,"Great place to chill this summer, very refreshing spring pools"
EribertaSpringsOfficial,90.4,120.45,48.92,73.2,43.14,42.0,4.18,nice place for family bonding
EribertaSpringsOfficial,45.2,24.09,36.69,73.2,28.76,25.2,2.33,"Pls clean the surroundings, side walks it's very slippery. They are collecting entrance fees so it's just right they have to maintain the cleanliness. We were there last December 27, stray dogs were inside too, as we were eating we smelled dogs feces. Ang daming lumot."
EribertaSpringsOfficial,90.4,120.45,48.92,91.5,43.14,33.6,4.28,"Come and visit this Eriberta Spring very nice, clean and most of all your safe.."
EribertaSpringsOfficial,45.2,72.27,48.92,73.2,14.38,25.2,2.79,"Had a bad management experience in this resort during our visit which definitely will be the last one. We occupied a vacant cottage but after a few minutes we were shoved away because apparently the personnel said that was reserved. Unfortunately there was no sign whatsoever that the unit was reserved. But we gave in anyways since they insist. We stayed on the cottage beside the unit. sometime in the afternoon,somebody occupied the unit so we asked them if they were the one who reserved it,but they said no. Towards the end of the day just before we left, we met the group who reserved the unit. And they said they only reserved it for overnight stay. We felt unfairly treated. I dont know about you but thats not how you treat customers. First impressions always last."
EribertaSpringsOfficial,90.4,120.45,36.69,91.5,43.14,33.6,4.16,Alkaline water and the beauty of nature...
EribertaSpringsOfficial,90.4,72.27,24.46,91.5,43.14,33.6,3.55,Ka pila naku nag balik ani nalugar ug Dili q Mapul.an 🥰😍
EribertaSpringsOfficial,90.4,72.27,48.92,91.5,57.52,25.2,3.86,https://m.facebook.com/story.php?story_fbid=165829698292546&id=100045965508258
garbemcoswimmingpool,67.8,48.18,48.92,91.5,14.38,25.2,2.96,"Suggest ko lang sa inyo.. Maganda ang view pero ang mga staff mga bulok! hindi marunong mag approach ng tao..para pang galit.. mag bayad pa ng 25 ang isa kung mag dala ng softdring kasi ang gusto nila doon nalang bumili.. bakit niyo pipigilan kong ano ang inumin ng tao.. Ayosin nyo mga tagapag pamahala.. Kung hindi mag close nalang kayu!

GODBLESS."
garbemcoswimmingpool,67.8,48.18,48.92,54.9,28.76,25.2,2.74,limit ur acomodation.if u dont allow souds better do not allow it for evrybody
garbemcoswimmingpool,67.8,72.27,36.69,54.9,43.14,25.2,3.0,No for pet lovers cause they are not pet friendly 👎👎👎👎👎
garbemcoswimmingpool,67.8,48.18,48.92,54.9,43.14,16.8,2.8,"It was absolutely okay ang place, pero ang usa ka staff ninyo kay mali iyang pag approach sa amoa, wala miy nakita nga professionalism sa iyaa nga ni approach nga bawal mag kanta sa video singko kay giabangan instead niduol siya namo diritso ingon nga ma'am bawal pakantahan with poker face wala nahuman among song unta gipahuman or if unsa man gali in a nice way nalang unta siya ni approach kasi wala pud mi kabalo nga di diay pwede pakantahan kasi nakita namo open lang videokihan walay tawo na didto, maong nihapit mig kanta pati wala man sab niingon sa amoa bawal nga naa raman unta poy usa nga gabantay sa kilid nga pool ga smile ra gali sa amoa galantaw ug galingkod."
garbemcoswimmingpool,22.6,24.09,36.69,18.3,28.76,16.8,1.47,"I recommend tarungon ninyog training ang pamatasan sa inyong staff/s. Grabi ka bastos mu approach, facial expression and the way mangistorya. Note nga dili tanang naligo diha kay ikapila na, pila ray pag inform ug sakto nga dili diay open for all inyong videokihan. Ganahan ka anang palungon rag kalit? And kung manubag pilosopa? Very wrong ante"
garbemcoswimmingpool,90.4,72.27,48.92,91.5,43.14,33.6,3.8,Hope to visit this place soon ❤️❤️❤️
Geefarmresort,113.0,96.36,48.92,54.9,71.9,33.6,4.19,"family athmosphere,  clean,  a welcoming staff... very good for an intimate celebrations"
GratumBeachResort,113.0,120.45,61.15,73.2,71.9,33.6,4.73,Staff are very friendly and accommodating 👍🏿❤️
GratumBeachResort,113.0,120.45,48.92,91.5,57.52,37.8,4.69,"The best/safe place to unwind with family❤💕❤
Big thanks to all staffs very accommodating and approachable"
GratumBeachResort,113.0,120.45,48.92,73.2,71.9,33.6,4.61,"An over night stay at Gratum2. Thank you to all the accommodating staff.. and to the management. Peaceful, relaxing, Clean and safe for campers. We enjoy a lot our stay plus the Unlimited internet at the top.

Hope to have an internet connection too along the beach. See you again Gratum2. Kudos!"
GratumBeachResort,90.4,120.45,61.15,54.9,57.52,33.6,4.18,Very accommodating staff!
GratumBeachResort,22.6,24.09,36.69,18.3,14.38,16.8,1.33,"Economy Great reset is here, cashless economy is here. Make more money with your free time. Invest in Forex and cryptocurrency trading. Professional and efficient broker. It's safe and lucrative, contact Mrs. Petra Louis on WhatsApp:+15853762579 or Email:petralouis144@gmail.com"
GratumBeachResort,113.0,96.36,48.92,91.5,71.9,33.6,4.55,The place is so relaxing and the rooms are conducive. Big thumbs up!💚-TeamNDMC-
GratumBeachResort,90.4,120.45,48.92,91.5,71.9,33.6,4.57,"Very accommodating from reservation to check out. Polite and friendly staff..clean,cozy and affordable rooms..
Delicious food and beverages with very reasonable prices..
Breath taking ambiance..
Thank you!We really enjoyed our stay!"
GratumBeachResort,90.4,120.45,48.92,91.5,71.9,33.6,4.57,"Yes it so nice and accomodating, money is so worth it."
GratumBeachResort,90.4,96.36,61.15,91.5,71.9,33.6,4.45,"Very accomodating both online and offline staff.

Great place to stay for all ages. Nice retreat from the busy routines.

Appreciated preservation of trees and nature and turtle nest.

Will surely be back soon"
GratumBeachResort,113.0,96.36,48.92,91.5,43.14,33.6,4.26,I love the ambiance.. Calm and peaceful as well as clean.... Beyond my expectations.. Hoping that the management be able to maintain the cleanliness and friendly atmosphere..
hunasanresort1224,90.4,96.36,61.15,54.9,57.52,33.6,3.94,"good services,,& nice sounds system"
hunasanresort1224,90.4,72.27,61.15,36.6,43.14,33.6,3.37,The foods and drinks are very affordable.
hunasanresort1224,113.0,96.36,61.15,91.5,71.9,33.6,4.67,📍Balik balik ta ari puhon! Daghang salamat sa accomodation Hunasan peeps 🥹✨
hunasanresort1224,90.4,96.36,36.69,91.5,57.52,33.6,4.06,"superB kanindot. busug kaayu mi. sulit among gi travel from Casa Mira South to Carcar. true, sundlunon sya, per adventurous kay nilabang mi ug sapa. but all in all, sulit. lami kaayu ilang food, worth it ra sa price na among nabayran. 12 mi kabuok with 15 dishes 2k+ ra amo nabayran. amazing! balik mi diri pohon. ♥️💯"
hunasanresort1224,113.0,96.36,61.15,73.2,71.9,33.6,4.49,Lami kaayo ang mga pagkaon ! Dili kamahayan then very ka affordable.... So unsa pay gihuwat.. Pangari namo sa Hunasan ☺️☺️
hunasanresort1224,67.8,96.36,48.92,36.6,43.14,42.0,3.35,enjoy the moment😂😂😂😂😂
jehovengardenresortofc,113.0,120.45,48.92,91.5,71.9,33.6,4.79,"very accommodating,,  malinis ang mga rooms and pools,  and peacefull,  mababait dn staffs.. 
surely babalik kmi dto"
jehovengardenresortofc,113.0,96.36,48.92,73.2,71.9,42.0,4.45,"Wow! Salamat Jehovens for a very relaxing venue to conduct our activities.
The place is superb and peaceful as it provides inpressive amenities from reception, accomodation, function hall, swimming poll and the rooms for over night stay. The food is also very yummy. Worth it to recommend to my friends."
jehovengardenresortofc,90.4,72.27,61.15,91.5,43.14,33.6,3.92,yeah yummy food.. i like the trees.. the birds and the breeze of the air.
kayleespalmresort,90.4,72.27,36.69,91.5,57.52,33.6,3.82,Very nice nand far from the city. The venue is clean and its good for family gatherings
kayleespalmresort,113.0,120.45,48.92,91.5,71.9,42.0,4.88,"peace, safe and elegant🥰🥰🥰 
bsta super relaxing mkawala jud ug stress, feel  kaau nmo nga mura kag nag vacation sa imong private resort.... ganorn! plus free wifi ug boutan pa kaau ang mga staff."
kayleespalmresort,90.4,96.36,48.92,91.5,43.14,42.0,4.12,Ma amaze jud ka sa place...makawalag stress😍🤍🤍🤍
caluaninfinitypool,45.2,72.27,48.92,91.5,28.76,33.6,3.2,"We are very disappointed! We traveled for 5 hours to enjoy the scenery and the pool itself but the power went out for the entirety of our stay. Instead of accommodating us for the power outage, we were left mostly to our own devices. The room itself was very hot and full of mosquitoes, we did not have enough beeds, pillows and blankets. The scenery was nice and the pool was better."
caluaninfinitypool,113.0,120.45,48.92,91.5,71.9,42.0,4.88,"Superb place for family, friends or lovers outing. Sementado ang daan paakyat sa lugar. Mababait at approachable ang mga taong nagttrabaho. Sulit na sulit kahit malayo para saming mga taga zamboanga at zamboanga sibugay. For sure we'll visit again. Thank you."
caluaninfinitypool,90.4,72.27,48.92,91.5,57.52,42.0,4.03,👍👊❤😍😍😍😍😍😍😍😍😍😍😍😍😍
LAGAGSpringMountainResort,113.0,120.45,61.15,91.5,71.9,42.0,5.0,10 STARS...................................
lumbiahillgardenresort,113.0,120.45,48.92,91.5,71.9,42.0,4.88,awesome ambiance so relaxing and stress reliever❤️
lumbiahillgardenresort,90.4,120.45,48.92,91.5,57.52,33.6,4.42,"relaxing,comfortable place to hang out w/ family"
lumbiahillgardenresort,113.0,120.45,48.92,73.2,57.52,42.0,4.55,"Been there nung april 14 lang. walk-in lang kami. maganda yung place tapos malinis. malinis din talaga ang swimming pool. masarap yung pagkain nila. chicken and halo-halo inorder namin. friendly staff pati yung may-ari maganda din pagtanggap sa mga guests. recommended po na puntahan yung Lumbia Hill Graden Resort.
Customer service - 5/5
pwede po magovernyt doon kung gusto nyo. may rooms sila."
lumbiahillgardenresort,90.4,96.36,36.69,91.5,57.52,33.6,4.06,very nice place to go. to unwind.to escape the noiseof the city
lumbiahillgardenresort,90.4,72.27,36.69,91.5,57.52,25.2,3.74,Beautiful though not fully developed Pero sulit❤️
lumbiahillgardenresort,113.0,120.45,48.92,91.5,57.52,33.6,4.65,So beautiful place romantic...
lumbiahillgardenresort,90.4,120.45,48.92,91.5,43.14,42.0,4.36,Very nice place and fresh air  please... visit here and have fun
lumbiahillgardenresort,90.4,72.27,48.92,91.5,43.14,42.0,3.88,"lovely view, fresh air, and has a variety of fun activities to choose from...ideal for photoshoots, personal time of relaxation, family recreation, and group outings."
lumbiahillgardenresort,67.8,96.36,48.92,91.5,43.14,33.6,3.81,Mind refresher... Eco friendly
lumbiahillgardenresort,90.4,72.27,61.15,73.2,57.52,42.0,3.96,very nice place....visit the resort and have fun...
maligroresort,113.0,96.36,48.92,91.5,71.9,42.0,4.64,"Great service! Very affordable! I totally recommend this for a family getaway. Kudos to this resort. More power. Thank youuuuuuu so much for the great experience! All our request was granted with such reasonable price. Room rates are so affordable, really cozy, clean. Really had a blast. The resort is so considerate with their customer's requests. I love it 🥰"
maligroresort,113.0,120.45,48.92,54.9,71.9,33.6,4.43,honest and professional staffs. they've found and returned my lost wallet. kudos to manager John and front desk staff.
maligroresort,113.0,96.36,48.92,91.5,57.52,33.6,4.41,nice place to be with people you love
maligroresort,90.4,120.45,48.92,91.5,71.9,33.6,4.57,Thank you Maligro ocean view resort. And for your very accommodating staff. We had a great time!
munimuniresort,113.0,96.36,48.92,91.5,57.52,42.0,4.49,"Beautiful beach, vibrant marine life for scuba diving, challenging wall for rock climbing. 😍"
munimuniresort,90.4,96.36,36.69,91.5,57.52,42.0,4.14,Nice place☺️ daming instagramable areas🥰
munimuniresort,113.0,120.45,48.92,91.5,57.52,42.0,4.73,Nice place to unwind and do some extreme adventure activities and most especially not crowded!👌thank you guys!👍🏻 5 stars
munimuniresort,90.4,120.45,36.69,91.5,57.52,33.6,4.3,Kalinawan resort is one of the best place to escape from the city. That truly you can see the amazing creations of God.
munimuniresort,113.0,96.36,36.69,91.5,57.52,42.0,4.37,Simply the best place I've ever been in Samal Island. The view was breath taking and the rock climbing and rappelling experience was incredible!
munimuniresort,113.0,96.36,48.92,91.5,71.9,33.6,4.55,"Nice water, accomodating staff and good place to relax����"
munimuniresort,113.0,96.36,48.92,91.5,71.9,42.0,4.64,"Nice is an understatement for Kalinawan Resort. Our stay there was extremely satisfying! (1) The place was well-kept. (2) Water was cool and pristine. (3) Staff was very efficient and accommodating. (4) Extreme outdoor activities were really fun!

Having our company summer outing at Kalinawan resort was an excellent choice. Everyone had a great time! Thank you for making Ingenuity Summer Outing 2017 a memorable one :)"
munimuniresort,90.4,120.45,36.69,91.5,57.52,42.0,4.38,The best place to be away from the city... ���
munimuniresort,90.4,72.27,24.46,91.5,57.52,33.6,3.7,"Kalinawan to relax, bond, enjoy nature at its finest, retreat, recollect, work and plan as a team, build a team and many more....  The place is worth the challenges encountered along the way... Masarap balik balikan �"
munimuniresort,113.0,120.45,48.92,91.5,71.9,42.0,4.88,"Thank you Kalinawan for the best memories of Samal Island. Sir Eric John, I am forever grateful for literally going an extra mile for me and my family. And to you Aris, thank you for taking good care of us all throughout our stay. Hats off to you, guys!"
PahaliResortBasilan,90.4,96.36,36.69,91.5,43.14,16.8,3.75,"Very nice beach, fine white sand. Peaceful. Clean. But food is not worth the price. We booked in a big villa with 4 queen sized bed, but the 6999 is good for 4 only. We still need to pay for an additional 1300 per person. The food is not good. Service crew did not even orient us with the amenities we can use if we book a villa. We just found out before checking out that we can use the kayak for free. If we did not ask, we were not told. Pricy masyado not worth it"
PahaliResortBasilan,45.2,72.27,24.46,54.9,28.76,8.4,2.34,2times na pag book ko dito hindi maganda napaka bagal ng response nila aabutan tayo ng siyam siyam. nakakainis.
PahaliResortBasilan,45.2,72.27,24.46,91.5,28.76,16.8,2.79,"The place itself is beautiful and peaceful.
The very reason I don't recommend this place is that it actually isn't tourist friendly. Sa dami na ng beach at provinces na napuntahan ko d2 lang ako gumastos ng something not worth my money.
I was oblige to pay 600php pra makapasok sa resort for consumable food WITHOUT CHOICES kasi hindi raw ako naka check in guest sa resort. And the serving was actually too small for ""sharing"".
My partner and I wanted to feature this place sana kea we wanted to take pictures lang, experience the fine white sand and blue water. Pro kung gusto daw nMin ng ganun we were allowed just 10mins to take shots, no ligo etc. and that SOUNDS TOO DISAPPOINTING.
Also according to our motor driver there was even a time na hindi na nagtuloy 1 guest nya dahil gulat sya sa presyo, so instead ipinasyal nlng ni kuya driver sa ibang resort.
Also kung walang mag overnight na guest, no walk-in guest is allowed na beyond 5PM.
NOT DIY FRIENDLY."
palomasbeachresort,113.0,120.45,61.15,73.2,71.9,33.6,4.73,it's so clean and doesn't smell bad . the concrete cottages is so clean but only lots of red ants on the sand  but it's okay ..
palomasbeachresort,113.0,120.45,48.92,91.5,71.9,33.6,4.79,Absolutely Perfect get away for family and friends. They keep things organize and safe. They do reminder and they have security guard.
palomasbeachresort,113.0,120.45,48.92,91.5,57.52,42.0,4.73,so nice beach resort for family- friendly bonding.. beautiful wd white sand
palomasbeachresort,113.0,96.36,48.92,91.5,57.52,33.6,4.41,absolutely  nice Beach resort⛱️ for family & friends
palomasbeachresort,90.4,72.27,61.15,73.2,43.14,33.6,3.74,nice place for chillin!!!
palomasbeachresort,90.4,72.27,48.92,91.5,43.14,33.6,3.8,Nice nga beach..balik ra mi puhon..
palomasbeachresort,113.0,96.36,48.92,91.5,57.52,33.6,4.41,nice view.. nindot para sa family bonding
palomasbeachresort,113.0,120.45,61.15,91.5,71.9,42.0,5.0,💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖
LaPiscinasResort,113.0,96.36,61.15,73.2,71.9,42.0,4.58,"Pool so nice, w/room hamugaway"
LaPiscinasResort,113.0,120.45,48.92,91.5,57.52,42.0,4.73,"I loved the place. Perfect for family. We've enjoyed the peaceful place, fresh air and pool is cool and clean. Also perfect for the children too."
LaPiscinasResort,113.0,96.36,61.15,91.5,57.52,42.0,4.61,"My family was enjoying the swimming pool, super nice view, I like the place specialy the pool is so clean ���
We are so happy and enjoy there,hope we can visit there again ��"
LaPiscinasResort,113.0,96.36,36.69,91.5,57.52,42.0,4.37,La Piscinas Resort is a perfect place  for relaxation.
LaPiscinasResort,113.0,120.45,48.92,54.9,43.14,33.6,4.14,"I love the swimming pool so much..nice ambiance,safe place..and very clean.."
LaPiscinasResort,113.0,120.45,48.92,91.5,71.9,33.6,4.79,"LA piscinas resort is the best resort ever..I'd really enjoy the view,pool and especially the bond of my friends that we shared..The most unforgettable moments ..thank LA piscinas resort for the good accommodation..job well done����"
LaPiscinasResort,90.4,72.27,61.15,73.2,43.14,42.0,3.82,A best bonding ever wid my st. Jonh batch '97 I miss them so much...A very nice place for having fun for ur family nd friends
LaPiscinasResort,90.4,72.27,48.92,91.5,57.52,42.0,4.03,"Its nice resort,,,and  we spend a lots of fun here with my friends"
